,Word,Number_of_edges
0,fawn,6
1,deferment,1
2,woods,1
3,clotted,4
4,hanging,6
5,woody,1
6,localized,4
7,spidery,1
8,sevens,5
9,scold,6
10,alphabetic,1
11,touristed,1
12,transvestism,1
13,screaming,11
14,wooded,1
15,grueling,4
16,chthonian,1
17,broiled,2
18,stereotypical,1
19,steadfastness,1
20,inevitably,5
21,punning,2
22,desiccant,1
23,bannister,4
24,consenting,2
25,washerman,1
26,snuggled,5
27,inanimate,2
28,cooking,12
29,designing,5
30,numeral,1
31,hallucinating,1
32,regularize,2
33,widget,7
34,crouch,3
35,brainwashed,1
36,china,2
37,affiliated,4
38,chink,2
39,doldrums,2
40,uplifting,3
41,controversy,4
42,spotty,3
43,climber,1
44,golden,8
45,cobblers,2
46,projection,3
47,stern,26
48,music,2
49,therefore,9
50,mystic,2
51,changelessness,1
52,spaying,4
53,mesmerize,4
54,crooner,1
55,filiform,2
56,yahoo,4
57,exuberantly,2
58,primeval,17
59,blustering,9
60,intake,3
61,morally,1
62,simper,1
63,locker,1
64,wand,4
65,unjust,3
66,fluorite,2
67,edgeways,1
68,want,2
69,cookery,1
70,absolute,32
71,travel,4
72,copious,3
73,canaries,6
74,cadence,1
75,goober,1
76,wrong,12
77,domed,1
78,caisson,3
79,sickening,4
80,tantalizing,11
81,nonsensical,4
82,infernally,1
83,concurrence,3
84,stoicism,1
85,butcher,3
86,activating,9
87,welcomer,1
88,wickedly,1
89,fit,3
90,bringing,13
91,gridiron,1
92,conterminous,1
93,folate,1
94,wales,6
95,imbricate,1
96,memorialize,1
97,preemie,1
98,effects,14
99,undeveloped,1
100,glutted,11
101,whacking,10
102,disconnection,5
103,averse,3
104,imaginativeness,1
105,uninfluenced,2
106,burial,4
107,canoeist,1
108,allay,10
109,stabilised,4
110,toleration,1
111,indiscretion,1
112,gradation,2
113,mason,2
114,encourage,3
115,adapt,3
116,outburst,3
117,corinthian,1
118,sinuate,1
119,estimate,9
120,disturbed,8
121,portmanteau,1
122,loudness,3
123,stripe,4
124,disfigured,3
125,reciprocally,1
126,clamorous,1
127,feldspar,1
128,traction,1
129,service,6
130,needed,10
131,master,15
132,enthrall,2
133,mutilated,3
134,spayed,4
135,idly,1
136,idle,22
137,feeling,17
138,mesmerise,3
139,brawny,2
140,increment,1
141,arousal,2
142,pomp,1
143,intraspecific,1
144,affairs,10
145,wholesome,2
146,mostly,1
147,hymen,1
148,prosody,2
149,toothed,3
150,mickle,3
151,pixilated,15
152,opalescence,1
153,unknot,1
154,limitless,3
155,diminishing,5
156,vexing,27
157,chumminess,3
158,encomium,3
159,metrics,1
160,venial,4
161,mouth,8
162,reverence,2
163,singer,1
164,maja,1
165,nettle,4
166,whimsey,2
167,scream,8
168,saying,12
169,dickey,2
170,teresa,1
171,dyspnea,1
172,cheaply,2
173,turgidity,1
174,excavator,2
175,lube,1
176,assaultive,1
177,lepidoptera,1
178,rick,2
179,rich,8
180,plate,1
181,guileful,5
182,clumsiness,3
183,umbrageous,3
184,rectal,1
185,boarder,2
186,patch,9
187,sensitivity,3
188,pinon,1
189,verboseness,1
190,playfulness,1
191,deadpan,3
192,exhalation,1
193,wage,2
194,extend,9
195,nature,1
196,quadruplicate,1
197,lapping,5
198,inflorescence,3
199,himalayas,1
200,heating,4
201,incense,3
202,southeastern,2
203,fearlessly,2
204,eradicate,2
205,obscenity,6
206,mortified,9
207,unsymmetrical,1
208,wearying,7
209,brindle,1
210,blonde,2
211,godhead,3
212,milquetoast,1
213,triviality,5
214,union,18
215,lineation,1
216,much,4
217,saute,1
218,dehumanised,3
219,tallest,1
220,obese,2
221,spit,10
222,katharsis,1
223,spic,3
224,spin,6
225,wildcat,3
226,farseeing,2
227,employ,8
228,groats,2
229,prostrate,1
230,saltiness,1
231,ephemerality,1
232,conditioned,7
233,eighteen,1
234,memorial,4
235,alimentation,5
236,jolting,1
237,remand,4
238,honk,6
239,rectifiable,1
240,split,13
241,boiled,7
242,chauvinistic,2
243,workforce,1
244,boiler,1
245,advertizement,2
246,peremptory,4
247,noblewoman,1
248,academic,3
249,stillness,2
250,academia,1
251,corporate,2
252,estivation,1
253,benignity,1
254,bellow,7
255,appropriately,4
256,portrayer,1
257,prognosticate,6
258,portrayed,5
259,lasso,2
260,advancement,3
261,beloved,3
262,duffel,1
263,hat,1
264,sulfa,1
265,municipal,2
266,irretrievable,1
267,confection,3
268,metrification,1
269,otherworldly,2
270,indicative,2
271,compaction,2
272,gangrene,1
273,clustered,5
274,shadow,5
275,replace,3
276,sleuthing,3
277,effusion,4
278,beneficial,2
279,crowd,1
280,crown,9
281,topping,8
282,deflection,3
283,captive,9
284,billboard,1
285,fiduciary,1
286,perchance,4
287,bottom,26
288,inhuman,2
289,plucked,16
290,treadmill,1
291,sensitising,4
292,starring,2
293,aboard,1
294,restlessness,4
295,bicentennial,1
296,oneness,1
297,infraction,1
298,administer,4
299,marshals,5
300,unrecognisable,1
301,despised,7
302,fabric,2
303,raped,15
304,grasping,9
305,greatness,3
306,raper,1
307,tamp,1
308,spurting,6
309,scoter,1
310,perfumed,4
311,paneled,4
312,humbled,5
313,rippling,8
314,smasher,9
315,humbler,1
316,nicest,1
317,stipendiary,2
318,smashed,15
319,duet,9
320,disgrace,4
321,unnerve,1
322,decapitation,1
323,sandaled,1
324,underfed,1
325,role,3
326,carbonaceous,1
327,vegetative,2
328,wordlessly,1
329,roll,32
330,emended,2
331,intend,6
332,thoroughgoing,9
333,ointment,2
334,palmy,3
335,comely,5
336,intent,6
337,ornateness,4
338,smelling,4
339,variable,1
340,hawker,3
341,ordination,3
342,overturned,15
343,gown,6
344,chain,3
345,chair,4
346,amplification,1
347,grappler,1
348,precognition,1
349,circumstances,5
350,oversight,13
351,tenacious,8
352,flatbed,1
