,word,frequence,number_of_edges
0,fawn,761340.0,6.0
1,deferment,342709.0,1.0
2,woods,14647735.0,1.0
3,clotted,89781.0,4.0
4,hanging,10190519.0,6.0
5,woody,4355633.0,1.0
6,localized,2414106.0,4.0
7,spidery,30676.0,1.0
8,sevens,423530.0,5.0
9,scold,170208.0,6.0
10,alphabetic,949640.0,1.0
11,transvestism,52181.0,1.0
12,screaming,3812764.0,11.0
13,wooded,1144287.0,1.0
14,grueling,303292.0,4.0
15,broiled,333717.0,2.0
16,stereotypical,440561.0,1.0
17,steadfastness,78717.0,1.0
18,inevitably,2556652.0,5.0
19,punning,47503.0,2.0
20,desiccant,195470.0,1.0
21,bannister,399566.0,4.0
22,consenting,473166.0,2.0
23,snuggled,174613.0,5.0
24,inanimate,340730.0,2.0
25,cooking,23831058.0,12.0
26,designing,9473961.0,5.0
27,numeral,504498.0,1.0
28,hallucinating,89301.0,1.0
29,regularize,39522.0,2.0
30,widget,3942410.0,7.0
31,crouch,1009495.0,3.0
32,brainwashed,354736.0,1.0
33,china,124472054.0,2.0
34,affiliated,10583504.0,4.0
35,chink,131531.0,2.0
36,doldrums,175618.0,2.0
37,uplifting,1467569.0,3.0
38,controversy,5161175.0,4.0
39,spotty,321064.0,3.0
40,climber,899495.0,1.0
41,golden,34416555.0,8.0
42,cobblers,187883.0,2.0
43,projection,10975182.0,3.0
44,stern,4643592.0,26.0
45,music,414028837.0,2.0
46,therefore,62082477.0,9.0
47,mystic,3575548.0,2.0
48,spaying,105792.0,4.0
49,mesmerize,130764.0,4.0
50,crooner,121842.0,1.0
51,filiform,24043.0,2.0
52,yahoo,155733641.0,4.0
53,exuberantly,33250.0,2.0
54,primeval,221070.0,17.0
55,blustering,40032.0,9.0
56,intake,8145321.0,3.0
57,morally,1464424.0,1.0
58,simper,29393.0,1.0
59,locker,3985812.0,1.0
60,wand,1887049.0,4.0
61,unjust,1228906.0,3.0
62,fluorite,205698.0,2.0
63,want,258690345.0,2.0
64,cookery,1326261.0,1.0
65,absolute,16198563.0,32.0
66,travel,287719294.0,4.0
67,copious,456992.0,3.0
68,canaries,362904.0,6.0
69,cadence,1162711.0,1.0
70,goober,108007.0,1.0
71,wrong,49156828.0,12.0
72,domed,441740.0,1.0
73,caisson,70178.0,3.0
74,sickening,350993.0,4.0
75,tantalizing,351201.0,11.0
76,nonsensical,347349.0,4.0
77,concurrence,952660.0,3.0
78,stoicism,85770.0,1.0
79,butcher,2253885.0,3.0
80,activating,1430694.0,9.0
81,wickedly,229538.0,1.0
82,fit,42342802.0,3.0
83,bringing,15970507.0,13.0
84,gridiron,405006.0,1.0
85,conterminous,64845.0,1.0
86,folate,595199.0,1.0
87,wales,29821525.0,6.0
88,imbricate,15888.0,1.0
89,memorialize,92437.0,1.0
90,preemie,233192.0,1.0
91,effects,82399410.0,14.0
92,undeveloped,707303.0,1.0
93,glutted,23766.0,11.0
94,whacking,166659.0,10.0
95,disconnection,462661.0,5.0
96,averse,426255.0,3.0
97,uninfluenced,30421.0,2.0
98,burial,4258160.0,4.0
99,canoeist,33670.0,1.0
100,allay,203474.0,10.0
101,stabilised,236454.0,4.0
102,toleration,209916.0,1.0
103,indiscretion,113009.0,1.0
104,gradation,256864.0,2.0
105,mason,9461838.0,2.0
106,encourage,22019763.0,3.0
107,adapt,4675567.0,3.0
108,outburst,543324.0,3.0
109,corinthian,379578.0,1.0
110,estimate,22033576.0,9.0
111,disturbed,7332357.0,8.0
112,portmanteau,64480.0,1.0
113,loudness,307846.0,3.0
114,stripe,4013275.0,4.0
115,disfigured,168094.0,3.0
116,reciprocally,83694.0,1.0
117,clamorous,41309.0,1.0
118,feldspar,283890.0,1.0
119,traction,2679735.0,1.0
120,service,519537222.0,6.0
121,needed,76528079.0,10.0
122,master,61704297.0,15.0
123,enthrall,43409.0,2.0
124,mutilated,355209.0,3.0
125,spayed,233188.0,4.0
126,idly,290705.0,1.0
127,idle,5921579.0,22.0
128,feeling,26546473.0,17.0
129,brawny,95700.0,2.0
130,increment,2435396.0,1.0
131,arousal,735904.0,2.0
132,pomp,337970.0,1.0
133,intraspecific,80059.0,1.0
134,affairs,36831853.0,10.0
135,wholesome,798427.0,2.0
136,mostly,26774406.0,1.0
137,hymen,341598.0,1.0
138,prosody,168580.0,2.0
139,toothed,333484.0,3.0
140,mickle,65297.0,3.0
141,pixilated,24348.0,15.0
142,opalescence,25997.0,1.0
143,limitless,692234.0,3.0
144,diminishing,1048246.0,5.0
145,vexing,151593.0,27.0
146,encomium,29220.0,3.0
147,metrics,3883192.0,1.0
148,venial,45072.0,4.0
149,mouth,22880351.0,8.0
150,reverence,893456.0,2.0
151,singer,12021075.0,1.0
152,maja,297019.0,1.0
153,nettle,444867.0,4.0
154,whimsey,27139.0,2.0
155,scream,4310000.0,8.0
156,saying,36981573.0,12.0
157,dickey,731267.0,2.0
158,teresa,3461041.0,1.0
159,dyspnea,210184.0,1.0
160,cheaply,633136.0,2.0
161,excavator,396338.0,2.0
162,lube,1540706.0,1.0
163,assaultive,30641.0,1.0
164,lepidoptera,364245.0,1.0
165,rick,13822320.0,2.0
166,rich,37200952.0,8.0
167,plate,24275560.0,1.0
168,clumsiness,96067.0,3.0
169,rectal,1676607.0,1.0
170,boarder,572698.0,2.0
171,patch,39999745.0,9.0
172,sensitivity,9431504.0,3.0
173,pinon,157507.0,1.0
174,playfulness,147396.0,1.0
175,deadpan,145228.0,3.0
176,exhalation,106235.0,1.0
177,wage,12243196.0,2.0
178,extend,15096022.0,9.0
179,nature,80659036.0,1.0
180,quadruplicate,18102.0,1.0
181,lapping,344713.0,5.0
182,inflorescence,208477.0,3.0
183,himalayas,568487.0,1.0
184,heating,17363382.0,4.0
185,incense,3032805.0,3.0
186,southeastern,3769283.0,2.0
187,fearlessly,136827.0,2.0
188,eradicate,852744.0,2.0
189,obscenity,507129.0,6.0
190,mortified,151758.0,9.0
191,unsymmetrical,20148.0,1.0
192,wearying,33370.0,7.0
193,brindle,271470.0,1.0
194,blonde,24231993.0,2.0
195,godhead,331050.0,3.0
196,milquetoast,25956.0,1.0
197,triviality,56993.0,5.0
198,union,72603888.0,18.0
199,lineation,16105.0,1.0
200,much,242326300.0,4.0
201,saute,546457.0,1.0
202,tallest,718826.0,1.0
203,obese,1673406.0,2.0
204,spit,2069895.0,10.0
205,spic,84138.0,3.0
206,spin,12671696.0,6.0
207,wildcat,965878.0,3.0
208,employ,5836385.0,8.0
209,groats,60254.0,2.0
210,prostrate,322274.0,1.0
211,saltiness,29746.0,1.0
212,conditioned,3411409.0,7.0
213,eighteen,3094087.0,1.0
214,memorial,20161664.0,4.0
215,alimentation,233452.0,5.0
216,jolting,55828.0,1.0
217,remand,907694.0,4.0
218,honk,298573.0,6.0
219,rectifiable,12993.0,1.0
220,split,19998411.0,13.0
221,boiled,1864484.0,7.0
222,chauvinistic,54332.0,2.0
223,workforce,11215929.0,1.0
224,boiler,2892727.0,1.0
225,peremptory,171369.0,4.0
226,noblewoman,24505.0,1.0
227,academic,54886061.0,3.0
228,stillness,459632.0,2.0
229,academia,2202285.0,1.0
230,corporate,84697675.0,2.0
231,benignity,15263.0,1.0
232,bellow,492951.0,7.0
233,appropriately,4679967.0,4.0
234,prognosticate,15269.0,6.0
235,portrayed,1682197.0,5.0
236,lasso,573529.0,2.0
237,advancement,5205341.0,3.0
238,beloved,4781714.0,3.0
239,duffel,828727.0,1.0
240,hat,24383742.0,1.0
241,sulfa,81028.0,1.0
242,municipal,16208818.0,2.0
243,irretrievable,50661.0,1.0
244,confection,141454.0,3.0
245,otherworldly,162731.0,2.0
246,indicative,2542684.0,2.0
247,compaction,651904.0,2.0
248,gangrene,160995.0,1.0
249,clustered,1047443.0,5.0
250,shadow,15221952.0,5.0
251,replace,22592560.0,3.0
252,sleuthing,98000.0,3.0
253,effusion,340361.0,4.0
254,beneficial,7174133.0,2.0
255,crowd,11409218.0,1.0
256,crown,16651038.0,9.0
257,topping,1431763.0,8.0
258,deflection,793586.0,3.0
259,captive,2342128.0,9.0
260,billboard,2369545.0,1.0
261,fiduciary,1493249.0,1.0
262,perchance,274273.0,4.0
263,bottom,45598411.0,26.0
264,inhuman,744168.0,2.0
265,plucked,447904.0,16.0
266,treadmill,2474781.0,1.0
267,sensitising,24880.0,4.0
268,starring,10342756.0,2.0
269,aboard,4080258.0,1.0
270,restlessness,367255.0,4.0
271,bicentennial,503665.0,1.0
272,oneness,899615.0,1.0
273,infraction,489190.0,1.0
274,administer,3754648.0,4.0
275,marshals,560722.0,5.0
276,unrecognisable,34620.0,1.0
277,despised,550781.0,7.0
278,fabric,17992206.0,2.0
279,raped,2040735.0,15.0
280,grasping,708592.0,9.0
281,greatness,1545552.0,3.0
282,raper,121418.0,1.0
283,tamp,95517.0,1.0
284,spurting,80909.0,6.0
285,scoter,80997.0,1.0
286,perfumed,384149.0,4.0
287,paneled,186963.0,4.0
288,humbled,394224.0,5.0
289,rippling,219769.0,8.0
290,smasher,104860.0,9.0
291,humbler,51588.0,1.0
292,nicest,766525.0,1.0
293,stipendiary,44351.0,2.0
294,smashed,1002472.0,15.0
295,duet,1335288.0,9.0
296,disgrace,980086.0,4.0
297,unnerve,20940.0,1.0
298,decapitation,141208.0,1.0
299,underfed,22645.0,1.0
300,role,73689002.0,3.0
301,carbonaceous,150836.0,1.0
302,vegetative,797739.0,2.0
303,wordlessly,33512.0,1.0
304,roll,30590349.0,32.0
305,emended,14700.0,2.0
306,intend,6069497.0,6.0
307,thoroughgoing,48060.0,9.0
308,ointment,978458.0,2.0
309,palmy,27941.0,3.0
310,comely,143779.0,5.0
311,intent,11596706.0,6.0
312,smelling,973663.0,4.0
313,variable,34715780.0,1.0
314,hawker,580518.0,3.0
315,ordination,2423296.0,3.0
316,overturned,854788.0,15.0
317,gown,2882930.0,6.0
318,chain,35928367.0,3.0
319,chair,40764005.0,4.0
320,amplification,1734413.0,1.0
321,grappler,85483.0,1.0
322,precognition,53229.0,1.0
323,circumstances,23915696.0,5.0
324,oversight,4970482.0,13.0
325,tenacious,2122528.0,8.0
326,flatbed,1663079.0,1.0
327,jerk,2740304.0,8.0
328,choice,68222335.0,4.0
329,embark,1084355.0,2.0
330,gloomy,860297.0,15.0
331,rationality,867752.0,1.0
332,knapsack,197222.0,2.0
333,stays,5547528.0,18.0
334,exact,22304937.0,5.0
335,minute,41061449.0,18.0
336,cooky,32767.0,1.0
337,roundworm,44173.0,2.0
338,lengthened,223709.0,2.0
339,bagging,339054.0,2.0
340,bakeshop,17080.0,1.0
341,lavishness,13753.0,3.0
342,celebrated,4475405.0,13.0
343,geography,13258481.0,1.0
344,boost,13675076.0,6.0
345,draftee,22146.0,2.0
346,blunted,184671.0,4.0
347,pedagogic,234051.0,1.0
348,address,261872866.0,23.0
349,dwindling,419751.0,2.0
350,enroll,4479470.0,1.0
351,shamelessness,19285.0,1.0
352,impacted,2352224.0,4.0
353,accomplished,7928651.0,13.0
354,sprouted,221579.0,5.0
355,thorazine,79768.0,1.0
356,vituperation,19531.0,2.0
357,cacophony,196816.0,2.0
358,abase,29383.0,11.0
359,opposer,67796.0,1.0
360,working,147675944.0,26.0
361,untaught,19480.0,1.0
362,sisterly,58104.0,1.0
363,vigour,335480.0,2.0
364,opposed,10126959.0,9.0
365,wank,748736.0,1.0
366,dampness,152156.0,1.0
367,tinea,143689.0,1.0
368,approving,2142483.0,5.0
369,disparagement,52480.0,1.0
370,originally,29016923.0,1.0
371,abortion,9397315.0,1.0
372,harmonious,845686.0,1.0
373,following,220709925.0,19.0
374,ammonite,92993.0,1.0
