,w0,w1,ricci
0,unnecessary,unneeded,0.24999999998872147
1,undesirable,unwanted,0.49999999996158007
2,single,individual,-0.5490196078642022
3,single,unmarried,-0.4444444444492268
4,best,good,-0.09283154162203755
5,certain,sure,-0.12937062973297153
6,certain,sealed,-0.6730769230793052
7,economic,economical,-0.33333333334233695
8,like,alike,-0.29761904765818836
9,like,similar,-0.40000000013389214
10,like,same,-0.31944444446907605
11,classical,classic,0.21428571417364795
12,long,recollective,-0.0388888889854897
13,long,tenacious,-0.4166666667347736
14,long,retentive,-0.038888888985489256
15,social,societal,0.16666666665872065
16,represented,delineated,-0.5636363637270907
17,represented,delineate,-0.6500000005041597
18,communist,communistic,0.49999999972581843
19,greek,hellenic,-0.5000000000056277
20,outside,outdoor,0.11111111109800764
21,socialist,socialistic,0.9999999999267714
22,similar,alike,-0.3071428575663979
23,secular,worldly,-0.29166666733710467
24,secular,temporal,0.08333333198622483
25,secular,profane,-0.8063063063110409
26,positive,positivistic,-0.16304347836784672
27,positive,confirming,-0.8976982097245243
28,positive,positivist,-0.41304347826597354
29,civil,polite,-0.34375000013145907
30,civil,civic,0.33333333331549264
31,french,gallic,0.9999999999267714
32,revolutionary,rotatory,0.16666666664825047
33,preventive,preventative,0.5555555553178961
34,reduced,decreased,-0.7210526316138717
35,minimum,minimal,0.49999999996158007
36,unlike,dissimilar,0.2499999993074632
37,unlike,different,-0.025000000024441693
38,philosophical,philosophic,-1.6896040122560407e-11
39,equal,adequate,-0.7457264957619585
40,right,correct,-0.5133620703518984
41,permissible,allowable,0.9999999999267714
42,small,little,-0.3260869568858471
43,unorganized,unorganised,0.7499999999319467
44,kept,unbroken,-0.7285714285728251
45,true,truthful,-0.1904761905984358
46,exchangeable,convertible,-0.20000000024141262
47,direct,lineal,0.016393442622218535
48,intellectual,cerebral,0.16666666665872054
49,broad,wide,-0.01000000028435477
50,just,equitable,-0.18421052636744206
51,just,fair,-0.5488721810495683
52,different,dissimilar,-0.10000000008702181
53,mutual,reciprocal,-0.2500000000072342
54,incompatible,uncongenial,-0.44444444446996845
55,incompatible,antagonistic,-0.5555555555596878
56,adopted,adoptive,0.09090909089705623
57,potential,possible,-0.3333333333423367
58,important,crucial,-0.31250000075225537
59,important,significant,-0.5416666666828711
60,active,dynamic,-0.5548387096913299
61,syncretic,syncretistic,0.9999999999267714
62,theoretical,theoretic,0.33333333331549286
63,insurrectionary,insurrectional,0.9999999999267714
64,main,independent,-0.7388888890644698
65,peaceful,peaceable,-0.33333333333916904
66,big,large,-0.17283163406408963
67,enforced,implemented,0.449999998747345
68,normative,prescriptive,0.9999999999267714
69,involuntary,unvoluntary,0.24999999996639688
70,involuntary,nonvoluntary,0.249999999966397
71,essential,substantive,-0.3214285715826317
72,expressed,explicit,-0.3928571428590173
73,green,unripened,-0.07647058906071136
74,green,immature,-0.3155080214176036
75,green,unripe,-0.034313725593347444
76,negative,disconfirming,-0.37500000000749556
77,harsh,coarse,-0.32708333354980956
78,experienced,experient,0.12499999998532463
79,systematic,taxonomic,0.14999999997369906
80,systematic,taxonomical,0.14999999842844036
81,significant,important,-0.5416666666828711
82,standard,received,-0.7750000000293411
83,square,straight,-0.5916666668435409
84,near,nigh,0.11680911670371852
85,near,close,-0.4166666667847405
86,opened,open,-0.2181818186889184
87,committed,attached,-0.7960526317847814
88,incident,incidental,-0.4333333350885007
89,gathered,collected,-0.10139860161277059
90,treated,hardened,-0.4147727274633557
91,treated,toughened,-0.32727272768146887
92,treated,tempered,-0.4545454549789618
93,latin,romance,-0.4333333333384761
94,largest,big,0.09374999985615329
95,largest,large,-0.11734693880174762
96,bolshevik,bolshevist,0.24999999997633593
97,proved,proven,0.5357142829052298
98,serious,sober,-0.41071428618303085
99,organizational,organisational,0.9999999999267714
100,strongest,stiff,-0.2261904762593645
101,strongest,strong,-0.1991869919493292
102,strongest,potent,0.16666666656286566
103,close,nigh,-0.3284615387023533
104,fascist,fascistic,0.9999999999267714
105,foreign,strange,-0.40000000006142256
106,repetitive,repetitious,0.49999999996158007
107,milder,mild,0.06666666665543941
108,strong,stiff,-0.6149825786114547
109,strong,potent,-0.3360433608083204
110,genetic,genetical,0.03571428457938697
111,genetic,genic,0.035714285672342694
112,actual,existent,-0.2727272727624137
113,unresolved,unsolved,0.19999999999175533
114,behavioral,behavioural,0.9999999999267714
115,live,alive,-0.5468750000581817
116,live,unrecorded,0.031249999935465733
117,atypical,untypical,0.49999999996158007
118,neural,nervous,-0.5833333333367081
119,neural,neuronal,0.33333333331549275
120,likely,probable,-0.3214285714533953
121,higher,high,-0.20000000056990852
122,mental,genial,-0.7142857142878847
123,older,old,-0.44268774727992755
124,worse,regretful,0.03571428503606655
125,worse,sorry,-0.6832298136838297
126,worse,bad,-0.31954887391592623
127,worse,worsened,-0.6904761904807848
128,difficult,hard,-0.37700534762658156
129,difficult,unmanageable,-0.6117647060522111
130,unusual,strange,-0.07954545469171537
131,diminished,wasted,-0.7466843502888172
132,diminished,atrophied,-0.3461538462547733
133,better,good,-0.1805875583322878
134,better,well,-0.4246031747988819
135,figurative,nonliteral,0.19999999997925055
136,sensory,sensorial,0.19999999997925055
137,sensory,sensational,-0.5500000000047174
138,loud,forte,-0.5555555556932248
139,rhythmic,rhythmical,0.49999999996157996
140,gastrointestinal,gi,0.9999999999267714
141,affected,unnatural,-0.4375000000049982
142,affected,stirred,-0.44791666736529456
143,affected,touched,-0.36458333343842897
144,affected,moved,-0.28125000004606404
145,poorer,poor,0.045454545422869974
146,closest,near,-0.382275132294583
147,closest,nigh,-0.2554945057831639
148,closest,close,-0.07857142870026568
149,substantial,material,-0.5238095238267761
150,substantial,real,-0.5100000005026666
151,odd,uneven,-0.7564102564118482
152,focused,focussed,0.5555555550919395
153,heritable,inheritable,0.9999999999267714
154,unaffected,unmoved,0.249999999966397
155,unaffected,untouched,-0.22500000015029475
156,material,real,-0.5866666674617329
157,material,corporeal,-0.47777777779399977
158,traceable,trackable,0.9999999999267714
159,parental,maternal,0.7499999999319464
160,parental,paternal,0.24999999997759315
161,reliable,dependable,-0.16666666897273785
162,prenatal,antepartum,0.7499999999319465
163,prenatal,antenatal,0.7499999999319467
164,aware,cognizant,0.10416666647445105
165,aware,mindful,-0.3125000000127969
166,aware,cognisant,0.062499999972983056
167,neuroanatomical,neuroanatomic,0.9999999999267714
168,pathological,pathologic,0.6666666664807083
169,consistent,ordered,-0.43939393998450993
170,consistent,coherent,-0.01666666750804091
171,consistent,logical,-0.14285714294418383
172,consistent,reproducible,0.16666666665872043
173,structural,geomorphologic,0.2916666660048677
174,structural,morphologic,0.2916666663384949
175,structural,geomorphological,0.2916666663384948
176,structural,morphological,0.2916666663384948
177,abnormal,unnatural,-0.3000000000100629
178,electrical,electric,0.19999999999175544
179,auditory,auditive,0.9999999999267714
