,w0,w1,ricci
0,abed,abet,-0.33333333334233695
1,abed,aced,0.05555555554126257
2,abed,aged,0.3333333332936631
3,abed,aped,0.12499999997430089
4,abed,awed,0.21428571410993646
5,abed,axed,0.33333333329366277
6,abet,abed,-0.33333333334233695
7,abet,abut,0.49999999996158007
8,aced,abed,0.05555555554126257
9,aced,aged,0.19444444441451325
10,aced,aped,0.048611109944944
11,aced,awed,0.11111110958033221
12,aced,axed,0.19444444441451358
13,aced,acer,-0.27777777780141366
14,aced,aces,-0.1111111115597081
15,aced,acid,-0.6388888888919693
16,aced,iced,-0.22222222225199406
17,aged,abed,0.3333333332936631
18,aged,aced,0.19444444441451325
19,aged,aped,0.27083333300034673
20,aged,awed,0.3571428571173143
21,aged,axed,0.4999999998945517
22,aged,ages,-0.07142857145773385
23,aped,abed,0.12499999997430089
24,aped,aced,0.048611109944944
25,aped,aged,0.27083333300034673
26,aped,awed,0.1874999981872849
27,aped,axed,0.2708333324146971
28,aped,apes,-0.0625000001124878
29,aped,apex,-9.347236318291152e-10
30,aped,sped,-0.7500000000017479
31,awed,abed,0.21428571410993646
32,awed,aced,0.11111110958033221
33,awed,aged,0.3571428571173143
34,awed,aped,0.1874999981872849
35,awed,axed,0.3571428561155988
36,awed,awes,-0.19480519611776792
37,awed,owed,-0.21428571461347845
38,axed,abed,0.33333333329366277
39,axed,aced,0.19444444441451358
40,axed,aged,0.4999999998945517
41,axed,aped,0.2708333324146971
42,axed,awed,0.3571428561155988
43,axed,axes,-0.16666666677368758
44,abut,abet,0.49999999996158007
45,acer,aced,-0.27777777780141366
46,acer,aces,-0.3000000000918843
47,acer,aver,-0.3333333333420525
48,aces,aced,-0.1111111115597081
49,aces,acer,-0.3000000000918843
50,aces,ages,0.22142857138915162
51,aces,apes,0.14999999997117686
52,aces,awes,-0.013636363918651861
53,aces,axes,0.09444444439542055
54,aces,acts,-0.35000000001647424
55,aces,ales,-0.05000000179865083
56,aces,ares,-0.011538461571908298
57,aces,ices,-0.3250000000826385
58,acid,aced,-0.6388888888919693
59,acid,amid,0.41666666653386475
60,acid,arid,0.09999999877466925
61,acid,avid,0.41666666653386497
62,iced,aced,-0.22222222225199406
63,iced,ices,-3.06552561113449e-11
64,ages,aged,-0.07142857145773385
65,ages,aces,0.22142857138915162
66,ages,apes,0.3839285693151918
67,ages,awes,0.13636363607580249
68,ages,axes,0.2777777763667476
69,ages,ales,0.09999999997013742
70,ages,ares,-0.038461538475009105
71,apes,aped,-0.0625000001124878
72,apes,aces,0.14999999997117686
73,apes,ages,0.3839285693151918
74,apes,apex,-9.347236318291152e-10
75,apes,awes,0.07386363634832416
76,apes,axes,0.21527777771522505
77,apes,ales,0.03749999994545983
78,apes,ares,-0.10096153847670863
79,apex,aped,-9.347236318291152e-10
80,apex,apes,-9.347236318291152e-10
81,sped,aped,-0.7500000000017479
82,sped,seed,-0.4970238096981243
83,sped,shed,-0.008928572631397014
84,sped,sled,-0.06250000046188786
85,sped,spec,-9.347236318291152e-10
86,sped,spew,-0.20833333336443327
87,sped,spud,-0.6750000000027014
88,sped,sued,-0.28750000007803034
89,awes,awed,-0.19480519611776792
90,awes,aces,-0.013636363918651861
91,awes,ages,0.13636363607580249
92,awes,apes,0.07386363634832416
93,awes,axes,0.1262626261894646
