,w0,w1,ricci
0,abed,abet,-0.33333333334233695
1,abed,aced,0.05555555554126257
2,abed,aged,0.3333333332936631
3,abed,aped,0.12499999997430089
4,abed,awed,0.21428571410993646
5,abed,axed,0.33333333329366277
6,abet,abut,0.49999999996158007
7,aced,aged,0.19444444441451325
8,aced,aped,0.048611109944944
9,aced,awed,0.11111110958033221
10,aced,axed,0.19444444441451358
11,aced,acer,-0.27777777780141366
12,aced,aces,-0.1111111115597081
13,aced,acid,-0.6388888888919693
14,aced,iced,-0.22222222225199406
15,aged,aped,0.27083333300034673
16,aged,awed,0.3571428571173143
17,aged,axed,0.4999999998945517
18,aged,ages,-0.07142857145773385
19,aped,awed,0.1874999981872849
20,aped,axed,0.2708333324146971
21,aped,apes,-0.0625000001124878
22,aped,apex,-9.347236318291152e-10
23,aped,sped,-0.7500000000017479
24,awed,axed,0.3571428561155988
25,awed,awes,-0.19480519611776792
26,awed,owed,-0.21428571461347845
27,axed,axes,-0.16666666677368758
28,acer,aces,-0.3000000000918843
29,acer,aver,-0.3333333333420525
30,aces,ages,0.22142857138915162
31,aces,apes,0.14999999997117686
32,aces,awes,-0.013636363918651861
33,aces,axes,0.09444444439542055
34,aces,acts,-0.35000000001647424
35,aces,ales,-0.05000000179865083
36,aces,ares,-0.011538461571908298
37,aces,ices,-0.3250000000826385
38,acid,amid,0.41666666653386475
39,acid,arid,0.09999999877466925
40,acid,avid,0.41666666653386497
41,iced,ices,-3.06552561113449e-11
42,ages,apes,0.3839285693151918
43,ages,awes,0.13636363607580249
44,ages,axes,0.2777777763667476
45,ages,ales,0.09999999997013742
46,ages,ares,-0.038461538475009105
47,apes,apex,-9.347236318291152e-10
48,apes,awes,0.07386363634832416
49,apes,axes,0.21527777771522505
50,apes,ales,0.03749999994545983
51,apes,ares,-0.10096153847670863
52,sped,seed,-0.4970238096981243
53,sped,shed,-0.008928572631397014
54,sped,sled,-0.06250000046188786
55,sped,spec,-9.347236318291152e-10
56,sped,spew,-0.20833333336443327
57,sped,spud,-0.6750000000027014
58,sped,sued,-0.28750000007803034
59,awes,axes,0.1262626261894646
60,awes,ales,-0.10454545481781041
61,awes,ares,-0.13636363640319593
62,awes,awls,-0.3068181818433784
63,awes,awns,-0.18181818193318655
64,awes,ewes,-0.43939393941783433
65,awes,owes,-0.2500000008252994
66,owed,owes,-0.18750000009873813
67,axes,ales,-0.011111111421308495
68,axes,ares,-0.1495726495920553
69,axes,axis,0.11111111109800798
70,axes,exes,-0.4583333335119839
71,aver,ever,-0.1666666667296426
72,aver,over,-0.10000000006063892
73,acts,ants,-0.10000000006063914
74,acts,arts,0.023809523788690168
75,ales,ares,-0.10000000102908535
76,ales,alas,0.024999999852493127
77,ales,albs,0.024999999852493238
78,ales,alms,-0.12142857160057585
79,ales,alps,-0.18333333386843198
80,ares,arts,-0.22527472538180748
81,ares,arcs,-0.19230769249391777
82,ares,area,-0.5897435897467729
83,ares,arks,-0.22527472537358095
84,ares,arms,-0.22527472538180726
85,ares,ires,-0.35256410271664773
86,ares,ores,-0.47435897438051833
87,ices,ires,-0.08333333340771198
88,ices,ides,-0.22500000085229432
89,amid,arid,0.2666666666312296
90,amid,avid,0.6666666664807077
91,arid,avid,0.2666666665707994
92,arid,aria,-0.30000000001006266
93,arid,grid,-0.6333333333364839
