,100,250,500,750,1000
0,321,3850,65,868,373
1,9685,4882,187,707,1376
2,10000,6339,1683,73,113
3,10000,6405,718,1610,141
4,8933,211,1479,1286,38
5,114,6476,48,1161,61
6,170,9728,157,289,314
7,10000,1442,1060,959,56
8,10000,6167,979,155,76
9,5504,192,3217,3723,96
10,6334,431,2170,1278,576
11,2005,850,613,2155,90
12,488,4108,2760,274,202
13,4857,10000,1415,1212,1715
14,10000,220,189,2408,534
15,393,123,2496,1830,136
16,2444,10000,61,681,1033
17,9849,100,3087,530,39
18,10000,1453,968,96,61
19,5552,1301,1472,229,279
20,781,1725,105,115,478
21,10000,133,19,1270,44
22,8287,421,124,1342,1790
23,515,2134,1718,148,191
24,10000,534,4744,106,82
25,6115,5239,1532,196,1054
26,150,4742,5891,80,130
27,10000,127,410,1967,156
28,2208,2109,3239,2319,271
29,597,1557,86,27,66
30,10000,1211,623,31,1078
31,5161,5868,404,3993,97
32,5699,1342,4325,315,121
33,1086,7539,511,1716,360
34,442,5578,43,625,117
35,357,117,150,120,352
36,7257,862,840,103,398
37,4810,9405,336,426,198
38,10000,764,4238,3242,1307
39,160,5459,1303,88,892
40,10000,6810,744,38,131
41,10000,77,3091,144,770
42,248,1016,175,121,62
43,10000,814,2075,78,1022
44,234,250,3831,191,1622
45,10000,946,92,1082,440
46,10000,2040,65,516,1259
47,7893,2737,880,1454,380
48,142,3539,535,134,95
49,10000,1009,45,77,224
50,4037,59,82,1192,1631
51,116,2701,59,185,190
52,10000,876,126,2174,38
53,10000,6564,45,160,94
54,10000,10000,2091,69,97
55,9742,2397,4751,1348,876
56,10000,2085,527,53,152
57,10000,7093,580,45,167
58,300,1116,3069,258,52
59,2506,116,435,4585,56
60,216,87,2241,296,96
61,7200,5411,226,604,99
62,99,2022,74,1988,93
63,7526,114,1765,93,87
64,4175,1539,3081,139,1427
65,96,1569,248,3847,2698
66,10000,1607,1164,757,59
67,184,1349,497,542,70
68,619,4219,2448,56,3143
69,8892,90,103,1295,1211
70,152,4264,103,41,31
71,10000,10000,65,1661,711
72,10000,60,2017,161,372
73,9827,6147,1140,204,107
74,6566,272,834,2800,141
75,1239,229,165,120,70
76,5925,5946,1610,198,81
77,10000,76,4917,105,576
78,470,10000,194,1034,72
79,2920,4508,430,123,137
80,10000,7146,229,1969,742
81,117,4132,1385,1440,784
82,6137,4277,78,90,48
83,731,3816,119,69,2039
84,10000,3982,1801,2182,74
85,7153,2821,216,338,1253
86,330,4062,2323,49,304
87,3595,8258,124,101,932
88,5538,1768,537,52,534
89,10000,499,5414,1517,166
90,10000,2045,1432,49,70
91,10000,4145,84,195,1391
92,3495,417,81,512,52
93,10000,5967,1044,111,3861
94,198,1787,159,684,103
95,10000,553,115,1696,78
96,1270,3095,95,1074,313
97,235,382,455,90,98
98,1151,3404,2084,79,53
99,5480,575,2029,475,108
100,190,2000,1377,1204,988
101,216,725,235,2432,2343
102,9642,1708,62,1912,605
103,141,4008,2259,3168,110
104,5240,2633,4635,42,96
105,9960,1493,371,48,51
106,1652,3877,112,115,66
107,40,12,1607,1995,728
108,3079,5946,464,372,289
109,7333,1882,79,286,70
110,8634,5881,1607,1846,95
111,213,10000,625,117,666
112,413,4368,451,1822,110
113,3263,1788,2513,357,104
114,2774,5399,725,961,220
115,7955,7705,62,6459,557
116,10000,153,152,793,3269
117,316,2505,97,2291,37
118,4451,3185,4692,839,41
119,820,1259,101,204,138
120,3173,703,25,789,1738
121,10000,1065,5989,61,191
122,95,1990,3197,30,42
123,10000,8273,624,2305,90
124,3114,3362,601,105,467
125,3594,485,614,2181,474
126,10000,1035,207,631,89
127,10000,6991,6648,561,114
128,10000,2818,2531,627,22
129,2537,3088,92,59,485
130,1078,2424,464,85,101
131,10000,2595,1282,1562,53
132,101,101,415,284,72
133,534,57,53,1508,119
134,1001,10000,428,3433,1518
135,10000,3316,1388,57,91
136,100,3139,1539,567,372
137,4874,5468,35,113,100
138,9948,601,141,2737,136
139,216,10000,58,158,85
140,420,10000,196,2347,3497
141,1289,53,146,1069,1570
142,10000,1214,133,108,719
143,58,8423,106,341,86
144,484,198,1088,129,547
145,14,533,1387,310,66
146,10000,1644,36,3883,896
147,183,191,736,250,404
148,10000,2265,79,69,1501
149,860,20,1268,4812,24
150,10000,1600,2096,1861,359
151,10000,2028,80,100,91
152,1566,10000,701,571,570
