word	sound
the	ðiː
and	ænd
of	ɒv
to	tuː
in	ɪn
a	eɪ
that	ðæt
is	ɪz
for	fɔː
on	ɒn
with	wɪð
as	æz
it	ɪt
The	ðiː
or	ɔː
was	wɒz
by	baɪ
from	frɒm
at	æt
I	aɪ
this	ðɪs
you	jʊ
are	ɑː
not	nɒt
have	hæv
be	biː
which	wɪtʃ
all	ɔːl
his	hɪz
has	hæz
one	wʌn
their	ðeə
about	əˈbaʊt
but	bʌt
an	æn
said	sed
more	mɔː
page	peɪdʒ
he	hɪ
your	jə
will	wɪl
its	ɪts
so	səʊ
were	wɜː
had	hæd
also	ˈɔːlsəʊ
only	ˈəʊnlɪ
if	ɪf
time	taɪm
some	sʌm
people	ˈpiːp(ə)l
like	laɪk
who	huː
them	ðəm
other	ˈʌðə
they	ðeɪ
when	wen
Wikipedia	ˌwɪkɪˈpiːdɪə
article	ˈɑːtɪk(ə)l
what	wɒt
just	dʒəst
any	ˈenɪ
after	ˈɑːftə
there	ðeə
would	wʊd
can	kæn
In	ɪn
her	hə
talk	tɔːk
use	juːs
then	ðen
into	ˈɪntəˌˈɪntu(ː)
up	ʌp
we	wɪ
over	ˈəʊvə
my	maɪ
out	aʊt
here	hɪə
now	naʊ
because	bɪˈkɒz
do	duː
work	wɜːk
than	ðæn
no	nəʊ
UTC	juːtk
me	miː
A	eɪ
two	tuː
our	ˈaʊə
been	biːn
new	njuː
where	weə
first	fɜːst
such	sʌtʃ
made	meɪd
If	ɪf
both	bəʊθ
before	bɪˈfɔː
way	weɪ
through	θruː
information	ˌɪnfəˈmeɪʃ(ə)n
him	hɪm
being	ˈbiːɪŋ
many	ˈmenɪ
most	məʊst
But	bʌt
those	ðəʊz
while	waɪl
name	neɪm
This	ðɪs
should	ʃʊd
how	haʊ
even	ˈiːv(ə)n
these	ðiːz
see	siː
It	ɪt
make	meɪk
may	meɪ
under	ˈʌndə
s	es
year	jɪə
state	steɪt
since	sɪns
years	jɪəz
edit	ˈedɪt
right	raɪt
did	dɪd
used	juːzd
government	ˈɡʌvənmənt
case	keɪs
articles	ˈɑːtɪk(ə)lz
get	ɡet
between	bɪˈtwiːn
she	ʃɪ
think	θɪŋk
during	ˈdjʊərɪŋ
another	əˈnʌðə
And	ænd
could	kʊd
using	ˈjuːzɪŋ
He	hɪ
without	wɪðˈaʊt
